NO,都道府県名,市区町村名,名称,名称_カナ,住所,方書,緯度,経度,内線番号,市区町村コード,災害種別_洪水,災害種別_崖崩れ、土石流及び地滑り,災害種別_高潮,災害種別_地震,災害種別_津波,災害種別_大規模な火事,災害種別_内水氾濫,災害種別_火山現象,面積,場所種別,指定避難所との重複,対象となる町会・自治会,画像,URL,備考
1,東京都,渋谷区,景丘公園,カゲオカコウエン,恵比寿4-19-21,,35.644016,139.713218,,131130,,,,,,,,,1004,一時集合場所,,伊達町会;恵比寿町会,https://www.city.shibuya.tokyo.jp/assets/mng/ittokipict.png,,
2,東京都,渋谷区,アメリカ橋公園,アメリカバシコウエン,恵比寿4-20-55,,35.642655,139.7156,,131130,,,,,,,,,1421,一時集合場所,,伊達町会;恵比寿町会,https://www.city.shibuya.tokyo.jp/assets/mng/ittokipict.png,,
3,東京都,渋谷区,あいおいニッセイ同和損保前,アイオイニッセイドウワソンポマエ, 恵比寿1-28-1 ,,35.647677,139.715599,,131130,,,,,,,,,,一時集合場所,,新橋町会,https://www.city.shibuya.tokyo.jp/assets/mng/ittokipict.png,,
4,東京都,渋谷区,恵比寿東公園,エビスヒガシコウエン,恵比寿1-2-16,,35.648177,139.71175,,131130,,,,,,,,,2666,一時集合場所,,山下町会;東恵比寿町会,https://www.city.shibuya.tokyo.jp/assets/mng/ittokipict.png,,
5,東京都,渋谷区,広尾公園,ヒロオコウエン,広尾5-7-4,,35.648526,139.721939,,131130,,,,,,,,,2869,一時集合場所,,広尾町会;都営広尾自治会,https://www.city.shibuya.tokyo.jp/assets/mng/ittokipict.png,,
6,東京都,渋谷区,豊沢児童遊園地,トヨサワジドウユウエンチ,恵比寿2-17-19,,35.647318,139.718895,,131130,,,,,,,,,345,一時集合場所,,豊恵町会,https://www.city.shibuya.tokyo.jp/assets/mng/ittokipict.png,,
7,東京都,渋谷区,恵比寿南二公園,エビスミナミ二コウエン,恵比寿南2-11-1,,35.643511,139.708668,,131130,,,,,,,,,1889,一時集合場所,,恵比寿南町会,https://www.city.shibuya.tokyo.jp/assets/mng/ittokipict.png,,
8,東京都,渋谷区,長谷戸小学校,ナガヤドショウガッコウ,恵比寿西1-23-1,,35.647204,139.706095,,131130,,,,,,,,,,一時集合場所,1,恵比寿南親和会;恵比寿明交町会;恵比寿西一丁目町会;長谷戸町会;恵比寿公親会;恵比寿新栄会の一部;東恵比寿町会の一部;恵比寿西二丁目町会;恵比寿商店街町会,https://www.city.shibuya.tokyo.jp/assets/mng/ittokipict.png,,
9,東京都,渋谷区,恵比寿公園,エビスコウエン,恵比寿西1-19-1,,35.646987,139.706868,,131130,,,,,,,,,4142,一時集合場所,,恵比寿南親和会;恵比寿明交町会;恵比寿西一丁目町会;長谷戸町会;恵比寿公親会;恵比寿新栄会;東恵比寿町会の一部;恵比寿西二丁目町会;恵比寿商店街町会,https://www.city.shibuya.tokyo.jp/assets/mng/ittokipict.png,,
10,東京都,渋谷区,代官山アドレス内アドレスコート,ダイカンヤマアドレスナイアドレスコード,代官山町17-1,,35.648584,139.70337,,131130,,,,,,,,,,一時集合場所,,代官山親隣会の一部,https://www.city.shibuya.tokyo.jp/assets/mng/ittokipict.png,,
11,東京都,渋谷区,猿楽小学校,サルガクショウガッコウ,猿楽町12-35,,35.650954,139.702008,,131130,,,,,,,,,,一時集合場所,1,代官山町会;親交会の一部;猿楽町会の一部;南平台町会の一部,https://www.city.shibuya.tokyo.jp/assets/mng/ittokipict.png,,
12,東京都,渋谷区,鉢山中学校,ハチヤマチュウガッコウ,鶯谷町9-1,,35.653109,139.703153,,131130,,,,,,,,,,一時集合場所,1,親交会;桜丘町会,https://www.city.shibuya.tokyo.jp/assets/mng/ittokipict.png,,
13,東京都,渋谷区,都立第一商業高校,トリツダイイチショウギョウコウコウ,鉢山町8-1,,35.650492,139.698475,,131130,,,,,,,,,,一時集合場所,,猿楽町会の一部;鉢山町会の一部,https://www.city.shibuya.tokyo.jp/assets/mng/ittokipict.png,,
14,東京都,渋谷区,広尾中学校,ヒロオチュウガッコウ,東4-13-25,,35.654058,139.712637,,131130,,,,,,,,,,一時集合場所,1,若羽町会,https://www.city.shibuya.tokyo.jp/assets/mng/ittokipict.png,,
15,東京都,渋谷区,広尾小学校,ヒロオショウガッコウ,東3-3-3,,35.651583,139.712151,,131130,,,,,,,,,,一時集合場所,1,渋谷隣交町会の一部,https://www.city.shibuya.tokyo.jp/assets/mng/ittokipict.png,,
16,東京都,渋谷区,恵比寿プライムスクエア,エビスプライムスクエア,広尾1-1-39,,35.650189,139.712659,,131130,,,,,,,,,,一時集合場所,,渋谷隣交町会,https://www.city.shibuya.tokyo.jp/assets/mng/ittokipict.png,,
17,東京都,渋谷区,氷川神社・氷川の杜公園,ヒカワジンシャ・ヒカワノモリコウエン,"東2-5-6,東2-5-24 ",,35.654976,139.710412,,131130,,,,,,,,,1908,一時集合場所,,渋谷氷川会;東二会,https://www.city.shibuya.tokyo.jp/assets/mng/ittokipict.png,,
18,東京都,渋谷区,金王八幡神社,コンノウハチマンジンジャ,渋谷3-5-12,,35.657683,139.706487,,131130,,,,,,,,,,一時集合場所,,渋谷駅東口町会;渋谷三丁目町会の一部,https://www.city.shibuya.tokyo.jp/assets/mng/ittokipict.png,,
19,東京都,渋谷区,美竹公園,ミタケコウエン,渋谷1-18-29,,35.661889,139.703989,,131130,,,,,,,,,1029,一時集合場所,,宮益町会;渋谷第一町会;心和会町会;宮下町会;穏田町会の一部,https://www.city.shibuya.tokyo.jp/assets/mng/ittokipict.png,,
20,東京都,渋谷区,常磐松小学校,トキワマツショウガッコウ,東1-7-10,,35.65583,139.710256,,131130,,,,,,,,,,一時集合場所,1,ときわ松町会の一部,https://www.city.shibuya.tokyo.jp/assets/mng/ittokipict.png,,
21,東京都,渋谷区,並木橋児童遊園地,ナミキバシジドウユウエンチ,渋谷3-25-11,,35.655203,139.705558,,131130,,,,,,,,,498,一時集合場所,,渋谷三丁目町会の一部,https://www.city.shibuya.tokyo.jp/assets/mng/ittokipict.png,,
22,東京都,渋谷区,松濤中学校,ショウトウチュウガッコウ, 松濤1-20-4 ,,35.661338,139.691077,,131130,,,,,,,,,,一時集合場所,1,道玄坂一丁目町会;富士見町会;道玄坂上町会;道玄坂二丁目商励会;道玄坂町会;渋谷百軒店商店会町会;道玄坂親栄会;栄和町会;円山町会;神泉・円山親栄会;神泉町会;松濤町会,https://www.city.shibuya.tokyo.jp/assets/mng/ittokipict.png,,
23,東京都,渋谷区,富谷小学校,トミガヤショウガッコウ, 上原1-46-4 ,,35.668882,139.686878,,131130,,,,,,,,,,一時集合場所,1,富ヶ谷二丁目町会の一部;上原一丁目町会の一部;富ヶ谷町会の一部;元代々木町会の一部,https://www.city.shibuya.tokyo.jp/assets/mng/ittokipict.png,,
24,東京都,渋谷区,上原中学校,ウエハラチュウガッコウ,上原3-41-2,,35.666845,139.677709,,131130,,,,,,,,,,一時集合場所,1,上原一丁目町会の一部;上原三丁目町会の一部;上原駅前町会,https://www.city.shibuya.tokyo.jp/assets/mng/ittokipict.png,,
25,東京都,渋谷区,代々木深町小公園,ヨヨギフカマチショウコウエン, 富ヶ谷1-54-1 ,,35.669168,139.69066,,131130,,,,,,,,,5243,一時集合場所,,富ヶ谷一丁目町会,https://www.city.shibuya.tokyo.jp/assets/mng/ittokipict.png,,
26,東京都,渋谷区,上原小学校,ウエハラショウガッコウ,上原3-13-20,,35.666348,139.679059,,131130,,,,,,,,,,一時集合場所,1,上原一丁目町会の一部;上原二丁目町会の一部;上原三丁目町会の一部,https://www.city.shibuya.tokyo.jp/assets/mng/ittokipict.png,,
27,東京都,渋谷区,富ヶ谷三本杉公園,トミガヤサンボンスギコウエン,富ヶ谷2-2-13,,35.666697,139.687212,,131130,,,,,,,,,1759,一時集合場所,,富ヶ谷二丁目町会,https://www.city.shibuya.tokyo.jp/assets/mng/ittokipict.png,,
28,東京都,渋谷区,代々木大山公園,ヨヨギオオヤマコウエン,西原2-53,,35.671737,139.675606,,131130,,,,,,,,,15096,一時集合場所,,大山町会の一部;西原町会の一部,https://www.city.shibuya.tokyo.jp/assets/mng/ittokipict.png,,
29,東京都,渋谷区,大山児童遊園地,オオヤマジドウユウエンチ,大山町6-8,,35.679944,139.679647,,131130,,,,,,,,,536,一時集合場所,,大山町会の一部,https://www.city.shibuya.tokyo.jp/assets/mng/ittokipict.png,,
30,東京都,渋谷区,代々木八幡宮,ヨヨギハチマングウ,代々木5-1,,35.672106,139.688849,,131130,,,,,,,,,,一時集合場所,,元代々木町会の一部,https://www.city.shibuya.tokyo.jp/assets/mng/ittokipict.png,,
31,東京都,渋谷区,代々木中学校,ヨヨギチュウガッコウ,西原1-46-1,,35.674127,139.683756,,131130,,,,,,,,,,一時集合場所,1,元代々木町会の一部;西原町会の一部,https://www.city.shibuya.tokyo.jp/assets/mng/ittokipict.png,,
32,東京都,渋谷区,西原小学校,ニシハラショウガッコウ,西原2-22-1,,35.673835,139.67858,,131130,,,,,,,,,,一時集合場所,1,西原町会の一部,https://www.city.shibuya.tokyo.jp/assets/mng/ittokipict.png,,
33,東京都,渋谷区,渋谷区スポーツセンター,シブヤクスポーツセンター,西原1-40-18,,35.675842,139.68144,,131130,,,,,,,,,,一時集合場所,1,西原町会の一部,https://www.city.shibuya.tokyo.jp/assets/mng/ittokipict.png,,
34,東京都,渋谷区,幡代小学校,ハタシロショウガッコウ,初台1-32-12,,35.679058,139.684336,,131130,,,,,,,,,,一時集合場所,1,初台町会,https://www.city.shibuya.tokyo.jp/assets/mng/ittokipict.png,,
35,東京都,渋谷区,はるのおがわコミュニティパーク,ハルノオガワコミュニティパーク,代々木5-68-1 ,,35.6717,139.690913,,131130,,,,,,,,,4910,一時集合場所,,代々木五丁目町会の一部,https://www.city.shibuya.tokyo.jp/assets/mng/ittokipict.png,,
36,東京都,渋谷区,参宮橋公園,サングウバシコウエン,代々木4-4-2,,35.679153,139.692701,,131130,,,,,,,,,2726,一時集合場所,,代々木四丁目町会の一部,https://www.city.shibuya.tokyo.jp/assets/mng/ittokipict.png,,
37,東京都,渋谷区,玉川上水旧水路緑道,タマガワジョウスイキュウスイロリョクドウ,代々木4-34～35先,,35.681692,139.689659,,131130,,,,,,,,,,一時集合場所,,代々木四丁目町会の一部,https://www.city.shibuya.tokyo.jp/assets/mng/ittokipict.png,,
38,東京都,渋谷区,新国立劇場,シンコクリツゲキジョウ,本町1-1-1,,35.682418,139.685899,,131130,,,,,,,,,,一時集合場所,,本町一丁目町会,https://www.city.shibuya.tokyo.jp/assets/mng/ittokipict.png,,
39,東京都,渋谷区,代々木山谷小学校,ヨヨギサンヤショウガッコウ,代々木3-47-1,,35.681291,139.694879,,131130,,,,,,,,,,一時集合場所,1,代々木三丁目町会の一部,https://www.city.shibuya.tokyo.jp/assets/mng/ittokipict.png,,
